item_id,restaurant_id,name,category,price,is_veg,popularity_score,image_url
1,1,Masala Dosa,main,110,1,60.19,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
2,1,Idli Sambar,starter,80,1,15.75,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
3,1,Medu Vada,starter,100,1,67.1,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
4,1,Filter Coffee,drink,90,1,28.51,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
5,2,Masala Dosa,main,80,1,75.32,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
6,2,Idli Sambar,starter,80,1,33.01,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
7,2,Medu Vada,starter,140,1,96.08,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
8,2,Filter Coffee,drink,40,1,69.51,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
9,3,Chicken Dum Biryani,main,349,0,67.84,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
10,3,Mutton Zafrani Biryani,main,409,0,56.43,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
11,3,Paneer Special Biryani,main,269,1,70.25,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
12,3,Chicken Tikka Kebab,starter,260,0,51.7,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
13,3,Mirchi Ka Salan,side,50,1,61.31,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
14,3,Boondi Raita,side,65,1,27.81,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
15,3,Onion Cucumber Raita,side,40,1,12.17,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
16,3,Coke 330ml,drink,30,1,69.56,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
17,3,Diet Coke Can,drink,135,1,54.69,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
18,4,Pani Puri,starter,40,1,71.79,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
19,4,Pav Bhaji,main,90,1,80.03,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
20,4,Vada Pav,starter,20,1,44.91,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
21,4,Masala Chai,drink,50,1,53.2,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
22,5,Quinoa Salad bowl,main,310,1,42.96,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
23,5,Grilled Chicken Breast,main,259,0,21.7,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
24,5,Avocado Toast,starter,229,1,98.46,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
25,5,Green Detox Juice,drink,169,1,56.84,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
26,6,Quinoa Salad bowl,main,220,1,24.96,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
27,6,Grilled Chicken Breast,main,359,0,60.95,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
