order_id,user_id,restaurant_id,order_ts,order_total,num_items
1,5285,9,2023-01-11T15:34:53Z,4879.57,6
2,4126,580,2023-11-11T17:15:19Z,184.49,2
3,7240,730,2024-01-15T16:17:35Z,666.37,3
4,6295,553,2023-09-05T07:48:38Z,240.59,3
5,1119,243,2023-08-01T15:39:11Z,313.75,4
6,5608,357,2023-12-18T07:22:33Z,1934.53,6
7,4649,52,2023-08-13T15:24:16Z,575.97,2
8,4960,39,2024-07-17T08:50:57Z,156.52,2
9,1122,429,2024-09-29T09:20:56Z,645.49,2
10,4669,2,2024-02-18T07:13:53Z,1011.87,4
11,7129,634,2023-03-15T02:03:27Z,1505.21,2
12,648,562,2023-12-12T15:13:51Z,531.62,2
13,5595,682,2023-10-18T14:29:51Z,179.47,2
14,1343,289,2023-03-07T16:04:15Z,382.32,2
15,6477,132,2023-06-01T08:27:19Z,762.01,3
16,7462,106,2023-11-05T06:29:27Z,1161.57,2
17,5266,406,2024-11-29T07:37:39Z,239.98,2
18,6288,740,2024-01-19T07:46:34Z,821.37,4
19,7358,248,2024-08-13T18:24:03Z,106.9,2
20,5248,637,2023-09-02T07:01:16Z,1143.1,4
21,6009,564,2023-02-18T10:19:41Z,460.9,4
22,1306,153,2024-02-21T00:45:15Z,272.24,3
23,6016,601,2023-11-26T17:10:07Z,624.55,2
24,6903,376,2023-12-07T07:12:13Z,774.3,3
25,3150,534,2023-06-13T15:10:49Z,367.79,4
26,2915,596,2023-01-17T04:36:48Z,3171.34,3
27,6415,425,2024-06-12T11:59:09Z,738.2,3
28,4268,639,2024-06-19T09:46:15Z,873.1,4
29,2467,65,2024-04-24T18:39:18Z,896.45,3
30,822,399,2023-11-06T14:10:04Z,222.9,2
31,5117,524,2023-12-16T06:26:41Z,124.14,2
32,7003,458,2024-01-19T07:39:53Z,504.44,3
33,2146,20,2024-02-18T11:19:28Z,471.24,4
34,763,38,2024-10-11T12:45:13Z,527.05,2
35,5222,530,2023-02-17T08:06:45Z,269.42,3
36,687,242,2023-10-12T13:40:01Z,242.75,3
37,2113,148,2023-12-19T06:21:05Z,2500.62,3
38,4486,323,2024-07-01T14:48:36Z,1455.98,5
39,977,542,2023-03-15T07:40:40Z,2474.38,3
40,3297,593,2024-11-07T05:32:32Z,175.2,3
41,4223,486,2023-11-21T18:45:45Z,317.75,3
42,5062,475,2023-10-16T16:21:23Z,97.39,1
43,3023,540,2023-09-01T08:48:08Z,309.4,4
44,4503,652,2023-01-16T14:24:30Z,256.38,3
45,2731,165,2024-03-19T13:36:19Z,340.5,3
46,6049,718,2023-08-10T06:26:25Z,420.96,4
47,1918,243,2024-01-10T01:58:57Z,132.08,2
48,1144,706,2023-10-15T00:37:35Z,461.29,2
49,6900,11,2023-01-17T17:06:10Z,420.89,5
50,4008,528,2023-03-12T15:52:12Z,2245.31,3
51,4683,375,2023-05-09T10:49:14Z,205.06,2
52,3678,297,2024-06-05T17:12:48Z,166.95,2
53,1181,731,2024-02-21T09:56:21Z,1313.0,2
54,4314,12,2023-12-11T15:38:02Z,781.87,3
55,217,139,2023-01-20T14:12:28Z,354.56,4
56,4263,297,2024-10-25T06:19:51Z,110.63,1
57,2511,65,2023-12-20T05:38:19Z,1165.0,5
58,1145,35,2024-03-11T14:47:45Z,696.16,2
59,1950,496,2024-09-28T10:51:24Z,312.78,4
60,6975,59,2023-09-30T12:24:50Z,3262.75,4
61,2380,706,2024-08-24T05:55:41Z,283.66,1
62,4089,64,2024-09-23T10:23:16Z,1407.36,5
63,6362,497,2023-02-08T16:13:38Z,500.42,2
64,6176,155,2023-02-03T09:23:03Z,295.63,4
65,871,118,2024-10-12T15:24:29Z,1730.79,2
66,6368,3,2024-01-25T07:08:20Z,1005.32,3
