user_id,city,avg_spend,order_frequency,veg_ratio,budget_segment,preferred_cuisines,last_order_ts
1,Mumbai,798.06,1.5,0.38,premium,Burger;Healthy,2024-01-10T16:40:45Z
2,Mumbai,1001.58,1.5,0.06,premium,Burger;Continental,2024-11-04T12:44:05Z
3,Delhi,433.06,1.5,0.57,mid,South Indian,2024-07-07T18:01:28Z
4,Mumbai,148.93,1.5,0.06,budget,Pizza,2023-07-06T09:45:12Z
5,Hyderabad,382.23,1.5,0.98,mid,Desserts,
6,Kolkata,287.34,1.5,0.54,mid,Chinese;Thai,
7,Mumbai,358.84,1.5,0.15,mid,Chinese;Continental,2023-05-30T06:49:57Z
8,Bangalore,672.35,1.5,0.97,premium,Desserts;Burger;Pizza,
9,Delhi,163.6,1.5,0.56,budget,Pizza;South Indian,2024-12-18T06:56:04Z
10,Mumbai,347.46,1.5,0.92,mid,Pizza,2023-05-03T17:11:43Z
11,Chennai,889.38,1.5,0.89,premium,South Indian;Continental,2024-04-02T13:47:46Z
12,Kochi,341.35,1.5,0.52,mid,Continental;Chinese,
13,Delhi,336.18,1.5,0.71,mid,Desserts,2024-06-09T13:33:29Z
14,Hyderabad,531.79,1.5,0.65,mid,Pizza;Continental;Chinese,2023-08-28T10:17:44Z
15,Hyderabad,169.76,1.5,0.89,budget,Thai;South Indian,
16,Mumbai,147.29,1.5,0.75,budget,Thai;Pizza,2024-06-09T07:52:28Z
17,Delhi,328.99,1.5,0.34,mid,Continental;Chinese;Desserts,2024-02-25T06:49:14Z
18,Kochi,118.94,1.5,0.9,budget,South Indian;Chinese,
19,Mumbai,947.74,1.5,0.34,premium,Burger;Healthy;South Indian,2024-07-18T14:43:44Z
20,Mumbai,720.11,1.34,0.51,premium,North Indian;Pizza,2023-01-21T13:58:28Z
21,Hyderabad,289.82,1.5,0.88,mid,North Indian;Continental;Pizza,2024-02-05T08:40:25Z
22,Jaipur,432.9,1.5,0.98,mid,Desserts;Biryani,
23,Mumbai,184.99,1.5,0.8,budget,North Indian;Pizza,2024-10-15T10:58:31Z
24,Hyderabad,316.43,1.5,0.57,mid,Chinese,
25,Mumbai,418.22,1.5,0.76,mid,Burger;North Indian,
26,Pune,392.44,1.5,0.34,mid,Pizza,
27,Hyderabad,968.33,1.5,0.27,premium,Continental;Chinese;Pizza,2024-09-10T16:29:54Z
28,Hyderabad,461.73,1.5,0.59,mid,Chinese;Healthy,2023-12-30T16:07:40Z
29,Jaipur,898.71,1.5,0.1,premium,Pizza;North Indian,2024-09-28T17:14:52Z
30,Mumbai,858.1,1.5,0.83,premium,North Indian;Chinese,2024-04-18T13:53:57Z
